id,condition,slot_a,slot_b,slot_c
v002,end_to_end,generic,emotion_only,need_only
v044,end_to_end,emotion_only,generic,need_only
v003,end_to_end,emotion_only,need_only,generic
v041,end_to_end,need_only,emotion_only,generic
v001,end_to_end,emotion_only,need_only,generic
v053,end_to_end,generic,emotion_only,need_only
v014,end_to_end,need_only,generic,emotion_only
v049,end_to_end,need_only,generic,emotion_only
v048,end_to_end,emotion_only,generic,need_only
v011,end_to_end,need_only,generic,emotion_only
v023,end_to_end,need_only,generic,emotion_only
v019,end_to_end,need_only,emotion_only,generic
v017,end_to_end,generic,need_only,emotion_only
v021,end_to_end,emotion_only,need_only,generic
v022,end_to_end,emotion_only,need_only,generic
v068,end_to_end,generic,need_only,emotion_only
v066,end_to_end,need_only,generic,emotion_only
v025,end_to_end,generic,need_only,emotion_only
v030,end_to_end,generic,emotion_only,need_only
v028,end_to_end,generic,emotion_only,need_only
v071,end_to_end,emotion_only,need_only,generic
v036,end_to_end,need_only,generic,emotion_only
v075,end_to_end,generic,emotion_only,need_only
v034,end_to_end,emotion_only,need_only,generic
v038,end_to_end,generic,emotion_only,need_only
